id,program_id,we_weekno,we_weekno_text,we_weektitle,we_no_ofstep,we_manual,we_start_message,we_end_message,we_certification_vdo,status,we_type
115,20,8,Week Eight,Week Eight,6,week8.pdf,,,0,1,paid
116,20,9,Week Nine,Week Nine,4,week9.pdf,,,0,1,paid
117,20,10,Week Ten,Week Ten,4,week10.pdf,,,0,1,paid
132,6,6,Certificate,Certificate,4,,,,0,1,certificate
134,5,6,Certification,Certification,1,,,,0,1,certificate
135,5,7,Marketing Hub,Marketing Hub  ,1,,,,0,1,normal
138,21,1,Week One,Week One,11,Week 1_CompressPdf.pdf,,,0,1,paid
139,21,2,Week Two,Week Two,8,Week 2_CompressPdf.pdf,,,0,1,paid
140,21,3,Week Three,Week Three,4,Week 3_CompressPdf.pdf,,,0,1,paid
141,21,4,Week Four,Week Four,6,Week 4_CompressPdf.pdf,,,0,1,paid
142,21,5,Week Five,Week Five,6,Week 5_CompressPdf.pdf,,,0,1,paid
143,21,6,Week Six,Week Six,10,Week 6_CompressPdf.pdf,,,0,1,paid
144,21,7,Week Seven,Week Seven,8,Week 7_CompressPdf.pdf,,,0,1,paid
145,21,8,Week Eight,Week Eight,6,Week 8_CompressPdf.pdf,,,0,1,paid
146,21,9,Week Nine,Week Nine,4,Week 9_CompressPdf.pdf,,,0,1,paid
147,21,10,Week Ten,Week Ten,1,Week 10_CompressPdf.pdf,,,0,1,paid
148,21,11,Certification,Certification,1,,,,0,1,certificate
154,4,4,Certification,Certification,1,,,,0,1,certificate
155,7,5,Certification,Certification,1,,,,0,1,certificate
156,14,5,Certification,Certification,1,,,,0,1,paid
161,13,10,Certification,Certification,1,,,,0,1,certificate
162,12,5,Certification,Certification,1,,,,0,1,certificate
164,13,9,Week Nine,Week Nine,6,,,,0,1,paid
165,31,0,Inner DNA,Inner DNA,8,InnerDNA.pdf,,,0,1,paid
166,31,1,Baselines,Baselines,8,Baseline.pdf,,,0,1,paid
167,31,2,IPC,IPC,6,IPC.pdf,,,0,1,paid
169,31,3,Coding,Coding,6,Coding.pdf,,,0,1,paid
170,32,1,Outcomes+,Outcomes+,5,OUTCOMES.pdf,,,0,1,paid
171,32,2,Unleash You,Unleash You,8,UNLEASH_YOU_0.pdf,,,0,1,paid
172,32,3,Success Blueprint,Success Blueprint,6,Success-Blueprint.pdf,,,0,1,paid
173,32,4,Certificate,Certificate,4,,,,0,1,certificate
174,38,0,Inner DNA Test,Inner DNA Test,11,InnerDNA.pdf,,,0,1,paid
175,38,1,Baselines,Baselines,7,Baseline.pdf,Wheel of Life,Badhaee ho! apane WEEK 1 pura kar liya,0,1,paid
176,38,2,IPC,IPC,6,IPC.pdf,,Badhaee ho! apane WEEK 2 pura kar liya,0,1,paid
177,39,1,Week One,Week One,11,OUTCOMES.pdf,,Badhaee ho! apane WEEK 3 pura kar liya,0,1,paid
178,39,3,Success Blueprint,Success Blueprint,7,Success-Blueprint.pdf,,Badhaee ho! apane WEEK 5 pura kar liya,0,1,paid
179,38,3,Coding,Coding,3,Coding.pdf,CONGRATULATIONS!,,0,1,paid
181,39,4,Certification,Certification,4,,CONGRATULATIONS!,,0,1,certificate
182,39,5,Marketing Hub,Marketing Hub,1,,,,0,1,marketing
183,39,2,Week Two,Week Two,11,UNLEASH_YOU.pdf,,Badhaee ho! apane WEEK 4 pura kar liya,0,1,paid
184,40,1,Week One,Week One,11,1705577244_3d2962d346e28d7ba45c.pdf,,,0,1,paid
185,40,2,Week Two,Week Two,8,1705577300_7313b77f2f18f90b3437.pdf,,,0,1,paid
186,40,3,Week Three,Week Three,4,1705577347_3be2a4281e20842fe48a.pdf,,,0,1,paid
187,40,4,Week Four,Week Four,6,1705577399_850dc5134fbd30c5cc79.pdf,,,0,1,paid
188,41,1,Week One,Week One,6,1705650351_8d0a4440198bbc3bdc57.pdf,,,0,1,paid
