id	program_id	week_id	week	stp_title	stp_stepno	stp_videoid	stp_video_length	stp_select_activity	status
328	5	2	2	INTRODUCTION AND ROADBLOCKS	1	742263752	20:12	0	1
329	5	2	2	DEMO OF INTRODUCTION & ROADBLOCKS	2	742263659	20:18	0	1
330	5	90	3	THE BRAINX SESSION	1	742263599	09:31	0	1
331	5	90	3	DEMO OF BRAIN X - ACTION & ACCOUNTABILITY	2	742263522	18:31	0	1
332	5	90	3	WHAT IS HOT SEAT? HOW TO LEARN NEW THINGS FROM EXTERNAL GUESTS?	3	742263467	10:54	0	1
333	5	4	4	HOW TO SET THE PRICING OF YOUR MASTERMIND?	1	742263389	25:22	0	1
334	5	91	4	TAKE YOUR JOURNEY TO THE NEXT LEVEL	2	742263298	11:16	17	1
335	5	92	5	HOW TO MARKET YOUR MASTERMIND?	1	742263210	12:06	17	1
336	1	5	5	CRAZY DREAMS (ACTIVITY)	3	742592916	05:20	0	1
337	3	1	1	THE SPEECH ( DEBRIEF )	8	783963629	06:31	0	1
338	3	5	5	Kaunse outcome ko ahmiyat de?(DEBRIEF)	3	784108285	04:41	0	1
345	20	1	1	10-saptah ki yatra mein aapka swagat hai.	1	742273154	7:52	0	1
346	20	1	1	INNER DNA TEST	2			1	1
347	20	1	1	WHEEL OF LIFE ( ACTIVITY )	4			0	1
348	20	1	1	WHO ARE YOU ( DEBRIEF )	3	742275914	12:17	0	1
349	20	1	1	WHEEL OF LIFE ( DEBRIEF )	5	742276142	8:32	0	1
350	20	1	1	YOUR INNER DNA	6	742276041	12:43	0	1
351	20	1	1	THE SPEECH ( ACTIVITY )	7	742276252	5:45	0	1
352	20	8	8	Aathave hafte mein aapka swagat!	1			0	1
353	20	1	1	DISCOVER YOUR INNER DNA ( ACTIVITY )	9			0	1
354	20	2	2	Incredible you program ke dusre hafte mein aap sabka swagat hai !	1	742275686	7:52	0	1
355	20	2	2	BASELINES EXPRESSION ACTIVITY	2			0	1
356	20	2	2	BASELINES NON - EXPRESSION ACTIVITY	3	742275860	1:37	0	1
357	20	2	2	BASELINES EXPRESSION AND NON - EXPRESSION DEBRIEF	4	742275776	4:10	0	1
358	20	2	2	THE CHANGE ACTIVITY	5			0	1
359	20	2	2	THE CHANGE DEBRIEF AND JOURNAL EXERCISE	6	742275614	5:10	0	1
360	20	3	3	Teesare hafte mein aapka swagat hai!	1	742275542	8:03	0	1
361	20	3	3	LETTING GO HOLDING ON ACTIVITY	3			0	1
