id	program_id	week_id	week	stp_title	stp_stepno	stp_videoid	stp_video_length	stp_select_activity	status
773	40	1	1	WELCOME TO THE 10-WEEK JOURNEY	1	742194439	04:06	0	1
774	40	1	1	INTRODUCTION	2			0	1
775	40	1	1	WHO ARE YOU	3			1	1
776	40	1	1	WHO ARE YOU (DEBRIEF)	4	742194482	03:59	0	1
777	40	1	1	WHEEL OF LIFE	5			3	1
782	40	1	1	WHEEL OF LIFE (DEBRIEF)	6	742194543	03:01	0	1
778	40	1	1	NEW TOPIC BEGINS	7			0	1
779	40	1	1	THE INNER DNA (INTRODUCTION TO THE NEW TOPIC)	8	742194592	07:47	0	1
780	40	1	1	THE SPEECH (ACTIVITY)	9	742194681	02:39	0	1
781	40	1	1	THE SPEECH (DEBRIEF)	10	742194750	02:59	0	1
971	40	1	1	DISCOVER YOUR INNER DNA	11			4	1
783	40	2	2	WELCOME TO WEEK 2!	1	742194799	02:32	0	1
784	40	2	2	BASELINES EXPRESSION ACTIVITY	2			0	1
785	40	2	2	BASELINES EXPRESSION ACTIVITY DEBRIEF	3	742194855	01:54	0	1
786	40	2	2	BASELINES NON EXPRESSION ACTIVITY	4			0	1
787	40	2	2	BASELINES NON EXPRESSION ACTIVITY DEBRIEF	5	742194906	02:09	0	1
788	40	2	2	THE CHANGE ACTIVITY	6			0	1
789	40	2	2	THE CHANGE DEBRIEF	7	742194975	04:49	0	1
790	40	2	2	JOURNAL EXERCISE AND CONCLUSION	8			0	1
791	40	3	3	WELCOME TO WEEK 3, THE INTEGRATED POWER CODING!	1	742195045	06:34	0	1
792	40	3	3	THE DEFINING MOMENTS (ACTIVITY)	2	742195114	06:10	0	1
793	40	3	3	THE DEFINING MOMENTS (DEBRIEF)	3	742195184	05:18	0	1
794	40	3	3	THE JOURNAL EXERCISE	4			0	1
795	40	4	4	THE CODING	1	742195256	02:56	8	1
796	40	4	4	THE CODING (DEBRIEF)	2			0	1
797	40	4	4	VISION	3	742195328	11:13	0	1
798	40	4	4	VISION (ACTIVITY)	4			0	1
799	40	4	4	VISION (DEBRIEF)	5			0	1
800	40	4	4	JOURNAL EXERCISE	6			0	1
972	40	5	5	CERTIFICATION	1			18	1
801	41	5	1	WELCOME TO WEEK 1, THE OUTCOMES PLUS!	1	742207800	04:19	0	1
802	41	5	1	WHAT DO I NEED TO FOCUS ON? (ACTIVITY)	2			0	1
803	41	5	1	WHAT DO I NEED TO FOCUS ON? (DEBRIEF)	3			0	1
804	41	1	1	DEFINE THE OUTCOME	4			12	1
805	41	5	1	DEFINE THE OUTCOME (DEBRIEF)	5	742207748	02:21	0	1
806	41	5	1	JOURNAL EXERCISE	6			0	1
807	41	2	2	WELCOME TO WEEK 2, THE OUTCOMES PLUS LEVEL 2!	1			0	1
808	41	6	2	THE INCRED PROCESS	2	742208747	09:44	0	1
809	41	6	2	CRAFTING INCRED OUTCOME (ACTIVITY)	3			0	1
810	41	6	2	CRAFTING INCRED OUTCOME (DEBRIEF)	4			0	1
811	41	5	2	CHALLENGES (ACTIVITY)	5			0	1
812	41	6	2	CHALLENGES (DEBRIEF)	6	742208861	03:23	0	1
813	41	6	2	POWER LEAPS	7	742208915	06:33	0	1
814	41	6	2	POWER LEAPS (ACTIVITY)	8			0	1
815	41	6	2	POWER LEAPS (DEBRIEF)	9	742208997	02:48	0	1
816	41	6	2	JOURNAL EXERCISE	10			0	1
817	41	3	3	WELCOME TO WEEK 3, UNLEASH YOU!	1			0	1
818	41	7	3	MY PAST DECISIONS (ACTIVITY)	2	742600302	05:57	0	1
819	41	7	3	MY PAST DECISIONS (DEBRIEF)	3			0	1
820	41	7	3	THE DECISION-MAKING WHEEL	4			11	1
821	41	7	3	THE DECISION-MAKING WHEEL (DEBRIEF)	5			0	1
822	41	7	3	LET'S MAKE A DECISION	6			11	1
823	41	7	3	LET'S MAKE A DECISION (DEBRIEF)	7	742600374	02:25	0	1
824	41	7	3	JOURNAL EXERCISE	8			0	1
825	41	4	4	WELCOME TO WEEK 4, UNLEASH YOU CONTINUES!	1			0	1
826	41	8	4	BUZZ MOMENTS (ACTIVITY)	2	742600443	05:15	0	1
827	41	8	4	BUZZ MOMENTS (DEBRIEF)	3	742613615	05:45	0	1
828	41	8	4	MY MASTERMIND CIRCLE (ACTIVITY)	4	742599970	01:18	0	1
829	41	8	4	MY MASTERMIND CIRCLE (DEBRIEF)	5	742600026	02:37	0	1
830	41	8	4	JOURNAL EXERCISE	6			0	1
831	41	5	5	WELCOME TO WEEK 5, THE SUCCESS BLUEPRINT!	1			0	1
832	41	9	5	CRAZY FEARLESS DREAMS (ACTIVITY)	2	742600078	07:57	0	1
833	41	9	5	CRAZY FEARLESS DREAMS (DEBRIEF)	3	742600158	03:04	0	1
834	41	9	5	JOURNAL EXERCISE	4			0	1
835	41	6	6	WELCOME TO WEEK 6, THE SUCCESS BLUEPRINT, THE FINAL BLUEPRINT	1	742600212	06:57	0	1
836	41	10	6	CERTIFICATION	2			18	1
842	42	1	1	10-saptah ki yatra mein aapka swagat  hai.	1	783936774	06:28	0	1
843	42	1	1	INNER DNA TEST	2			1	1
844	42	1	1	WHO ARE YOU ( DEBRIEF )	3	783938671	08:31	0	1
845	42	1	1	WHEEL OF LIFE ( ACTIVITY )	4	783940562	00:58	3	1
846	42	1	1	WHEEL OF LIFE ( DEBRIEF )	5	783943156	04:48	0	1
847	42	1	1	YOUR INNER DNA	6	783952765	07:12	0	1
848	42	1	1	THE SPEECH ( ACTIVITY )	7	783955150	01:39	0	1
850	42	1	1	THE SPEECH ( DEBRIEF )	8	783963629	06:31	0	1
849	42	1	1	DISCOVER YOUR INNER DNA ( ACTIVITY )	9			4	1
851	42	2	2	Incredible you program ke dusre hafte mein aap sabka swagat hai !	1	784092415	05:10	0	1
